english,polish,ID
refractory period,okres refrakcji,686
cartilage,chrząstka,687
beyond the pale,poza nawiasem,688
juvenal,młodociany,689
defector,dezerter,690
mouthwatererring,śliniący się w ustach,691
retain water,zatrzymać,692
taste buds,kubki smakowe,693
quinoa,komosa ryżowa,694
stumbleupon,potknąć się,695
undisclosed,nieujawnione,696
digestive,trawienny,697
cue,replika,698
collapsed nostril,zapadnięte nozdrze,699
deviated septum,skrzywiona przegroda,700
depleted,wyczerpany,701
apnea,bezdech,702
sloth,lenistwo,703
farsightedness,dalekowidz,704
vials,fiolki,705
imply,sugerować,706
ecstatic,ekstatyczny,707
lotioning off,balsam,708
cuticle,naskórek,709
conceived,poczęty,710
quackery,szarlataneria,711
snap out,wyrwać się,712
heartening,pokrzepiający,713
coronavirus variant fear sparks africa travel curbs,strach przed koronawirusem wywołuje ograniczenia podróży po afryce,714
smear,rozmaz,715
spice turmeric,przyprawa kurkuma,716
devouring,pożerający,717
circadian rhythm,rytm dobowy,718
circadian,dobowy,719
"no bystanders were injured as a result of the weapon discharge.""

",żadna osoba postronna nie została ranna w wyniku wystrzału.”,720
she was seizing,ona chwytała,721
rebuttal,obalenie,722
extinguish the force,zgasić siłę,723
tuition,czesne,724
ditched,porzucić,725
misogynistic,mizoginistyczny,726
sustainability,zrównoważony rozwój,727
semiuntethered,częściowo związany,728
untethered,swobodny,729
protrudes,wystaje,730
carbohydrates,węglowodany,731
cultivation,uprawa,732
sett den inntil,put it up,733
revelling,rozkoszując się,734
detached,oderwany,735
discord,niezgoda,736
substantial,znaczny,737
lavish,rozrzutny,738
tenet,dogmat,739
salvation,zbawienie,740
eternals,wieczne,741
bogus,podrobiony,742
remorse,wyrzuty sumienia,743
parole,zwolnienie warunkowe,744
hedge,żywopłot,745
appalling,przerażający,746
smirk,uśmiech,747
pancreatic,trzustkowy,748
tar,smoła,749
carbon,węgiel,750
monoxide,tlenek,751
overlap,zakładka,752
inhibit,hamować,753
preclude,uniemożliwiać,754
filed,wniesiony,755
they called it quits.,nazywali to odejściem.,756
hovel,rudera,757
eternal bungler,wieczny chuligan,758
retrieves,pobiera,759
scent,zapach,760
elusive,nieuchwytny,761
prevail,panować,762
mossy teeth,omszałe zęby,763
inadmissible,niedopuszczalny,764
perished,zginął,765
scrutiny,badanie,766
wholesaler,hurtownik,767
fathom,pojąć,768
fuse,bezpiecznik,769
rejuvenate,odmładzać,770
stopover,przerwa w podróży,771
plea,zarzut,772
quick inhales,szybkie wdechy,773
sovereignty,suwerenność,774
consensual encounter.,spotkanie konsensualne.,775
you are giddy,ty jestes roztrzepany,776
tinkering,majsterkowanie,777
consensual,konsensualny,778
scorched,przypalony,779
mediated alterations,zmiany pośredniczone,780
contentious,sporny,781
alterations,zmiany,782
dependence occurs,występuje zależność,783
there is no reference point,nie ma punktu odniesienia,784
cravings,pragnienia,785
proxy,pełnomocnik,786
potency,moc,787
cognitive impairments,zaburzenia poznawcze,788
rely on,polegać na,789
gets accustomed,przyzwyczaja się,790
compelled,zmuszony,791
hook,zaczep,792
vulneable,wrażliwy,793
plow,pług,794
jeg føler meg veldig dårlig,czuję się bardzo źle,795
resumed,wznowione,796
pitched,rozbity,797
handicapped,upośledzony,798
countenance,oblicze,799
quarrel,sprzeczka,800
bedridden,złożony chorobą,801
flint,krzemień,802
unprecedented,bez precedensu,803
dais,podium,804
dike system,system wałów przeciwpowodziowych,805
repeatedly,wielokrotnie,806
endure,znieść,807
haggle,targować się,808
contradict,zaprzeczać,809
turmeric,kurkuma,810
chopstick,pałeczki np. do ryżu,811
registered,zarejestrowany,812
cumin,kminek,813
crude oil,ropa naftowa,814
recupture,rekonstrukcja,815
expendable,przeznaczony na stracenie,816
lap-dance,taniec na kolanach,817
sanitise,dezynfekować,818
parish council,rada parafialna,819
sanitise,oppryddings,820
resources,zasoby,821
explicitly,wyraźnie,822
respiratory,oddechowy,823
subject,przedmiot,824
subject,poddany króla,825
tarnishing,matowienie,826
hype,szum,827
outpouring,wylew uczuć,828
desolation,spustoszenie,829
desolation,spustoszenie,830
arrangement,układ,831
german measles,różyczka,832
containment,powstrzymywanie,833
saturation,nasycenie,834
pestilence,zaraza,835
hallmarks,znak rozpoznawczy,836
exceed,przekraczać,837
airborne,samolotowy,838
debunking,obalanie,839
digest,strawić,840
scramble,rozchwytać,841
"cognitive impairments, diminished coordination and reaction time, and acute psychotic features such as hallucinations and delusions.","zaburzenia poznawcze, zmniejszona koordynacja i czas reakcji oraz ostre cechy psychotyczne, takie jak omamy i urojenia.",842
agitation,podniecenie,843
dispensary,ambulatorium,844
irritability,drażliwość,845
host of factors,mnóstwo czynników,846
craving for,spragniony,847
relapse,recydywa,848
renewal,odnowienie,849
impair your driving,zaburzać prowadzenie pojazdu,850
lay off,odpocząć sobie,851
diligence,pracowitość,852
squander,zmarnować,853
cluster,grupa,854
outlook,perspektywy,855
magnitude,wielkość,856
conjectuon,przypuszczenie,857
iceberg stage,scena lodowa,858
impose,narzucać,859
depiction,opis,860
flatten,spłaszczyć,861
ambiguous,dwuznaczny,862
ceased,przestał,863
contagious,zaraźliwy,864
bird,ptak,865
beard,broda,866
excursion,wycieczka,867
pursued,ścigany,868
surfecant,środek powierzchniowo czynny,869
herpes,opryszczka,870
preserving,konserwowanie,871
staggering,oszałamiający,872
deciphering,rozszyfrowanie,873
stuttering,jąkanie,874
overlook,przeoczyć,875
whinging,marudzenie,876
longevity,długość życia,877
havoc,spustoszenie,878
humidifier,nawilżacz,879
attitude,nastawienie,880
disingenuous,obłudny,881
midlife clarity,jasność wieku średniego,882
concluded,zakończone,883
arsonist,podpalacz,884
extort,wymusić,885
hassle,kłopot,886
varnish,lakier,887
plea out,błagać,888
lenient,łagodny,889
drove,stado,890
stocky,krępy,891
ruthless,bezwzględny,892
framework,struktura,893
exacerbated,zaostrzone,894
portal,portal,895
rollbacks,wycofywanie,896
cloves,goździki,897
mockery,kpina,898
perish,zginąć,899
bombshell,bomba,900
saturations,nasycenia,901
plasma,osocze,902
ingesting,połknięcie,903
bleach,wybielacz,904
disinfectant,środek dezynfekujący,905
hvor skal det,where should it be,906
upholstory,tapicerka,907
uterus,macica,908
locust,szarańcza,909
disillusion,rozczarować,910
are you squeamish to food,czy jesteś wrażliwy na jedzenie?,911
sustainably,zrównoważony,912
cheeky grin,bezczelny uśmiech,913
stepped on,nadepnął,914
grudge,uraza,915
dealt,rozdane,916
drawn,pociągnięty,917
discouraged,zniechęcony,918
looted,zrabowane,919
reassess,ponowna ocena,920
lured,zwabiony,921
gratitude,wdzięczność,922
wheezing,świszczący oddech,923
debilitating,wyniszczające,924
depleted iron,zubożone żelazo,925
decent man,przyzwoity człowiek,926
decent man,anstendig mann,927
enraged,rozwścieczony,928
niche,nisza,929
villan,czarny charakter,930
utter disregard,całkowite lekceważenie,931
racial ambiguity,niejednoznaczność rasowa,932
mongrel,kundel,933
geared,nastawiony,934
braid,warkocz,935
his so mean,jego tak podły,936
hick,chłop,937
infatuated,zakochany,938
such a profound way.,tak głęboki sposób.,939
deterred,zniechęcony,940
emplify,uwydatniać,941
shriveling,pomarszczony,942
subcutancous,podskórny,943
inertia,bezwładność,944
increasingly suspect,coraz bardziej podejrzany,945
assumptiono,założenie,946
adjacent,przylegający,947
booster dose,dawka przypominająca,948
booster shot,strzał przypominający,949
remake,przerobić,950
grappling,zmagania,951
sliver,drzazga,952
irrelevant,bez znaczenia,953
relentless,nieustępliwy,954
revamping,modernizacja,955
consolation,pocieszenie,956
defund,obciążyć,957
vulva,srom,958
clit,łechtaczka,959
gutter,rynna,960
esteemed,ceniony,961
interrogation,przesłuchanie,962
ferociously,zaciekle,963
almighty,wszechmocny,964
pelvis,miednica,965
prorogation,odroczenie,966
deranged,obłąkany,967
taunting,szyderstwo,968
martyr,męczennik,969
excruciat,rozdzierający,970
tossed,rzucił,971
crunch,schrupać,972
elated,podniecony,973
i thought nobody there,jeg trodde ingen der,974
pelvic,miednicowy,975
diapers,pieluchy,976
caveat,zastrzeżenie,977
parole officer,kurator,978
dumbbells,hantle,979
grabbing,chwytanie,980
underlying couse,podstawowa przyczyna,981
intervene,interweniować,982
maternal vasculature,układ naczyniowy matki,983
crux,sedno sprawy,984
fetus,płód,985
fallopian tube,jajowód,986
ovary,jajnik,987
folic acid,kwas foliowy,988
folate,kwas foliowy,989
enrolled,zarejestrowany,990
insightful,wnikliwy,991
efficient,wydajny,992
debunked,obalony,993
ballots,karty do głosowania,994
pelvins,miednice,995
vulnerable,wrażliwy,996
detached house for rent,enebolig til leie,997
hydrogen peroxide,nadtlenek wodoru,998
who prefers,kto woli,999
innate,wrodzony,1000
comittment,zaangażowanie,1001
impervious,nieprzepuszczalny,1002
repercussions,reperkusje,1003
snitch,kapuś,1004
consistent,zgodny,1005
don't expect to turn up,"nie spodziewaj się, że się pojawisz",1006
calf muscle,mięsień łydki,1007
deteriorated,pogarszony,1008
breaching,naruszenie,1009
"insights 

",spostrzeżenia,1010
he collides with reigning,zderza się z panowaniem,1011
strain of austerity,napięcie surowości,1012
austerity measures,środki oszczędnościowe,1013
fluffy,puszysty,1014
ingrained,zakorzeniony,1015
shallow,płycizna,1016
bohemia,cyganeria,1017
price gouging,żłobienie ceny,1018
eligible,wybieralny,1019
volatile,lotny,1020
hod,taczki,1021
welfare,dobrobyt,1022
your taste buds are in for a treat,twoje kubki smakowe czekają na ucztę,1023
lairy,wróżka,1024
"allegedly because an air freshener was obscuring his rearview mirror. on monday night, daunte’s aunt, naisha wright, called in to cnn.","rzekomo dlatego, że odświeżacz powietrza zasłaniał lusterko wsteczne.  w poniedziałek wieczorem ciotka daunte, naisha wright, zadzwoniła do cnn.",1025
snout,pysk,1026
incarcerated,uwięziony,1027
make them contract,zmusić ich do skurczu,1028
egalitarian,egalitarny,1029
homogeneous,jednorodny,1030
flogged,chłosta,1031
interfere,kolidować,1032
brain tumor,guz mózgu,1033
gentrification,gentryfikacja,1034
scarecrow,strach na wroble,1035
hi adversity,cześć przeciwności,1036
ved siden av,next to,1037
body recompesirion,rekompozycja ciała,1038
"so, dear reader, you and your wisdom are ahead of the curve!","tak więc, drogi czytelniku, ty i twoja mądrość wyprzedzacie konkurencję!",1039
all’s fair in love and war,w miłości i na wojnie wszystko jest sprawiedliwe,1040
with a desire to overcome challenges by working together,z chęcią pokonywania wyzwań poprzez wspólną pracę,1041
mutiny,bunt,1042
everyday commitment,codzienne zaangażowanie,1043
contempt,pogarda,1044
tighten,dokręcać,1045
disembark,wyokrętować,1046
sustain,podtrzymywać,1047
dismantled,zdemontowany,1048
beyond comprehension,poza zrozumieniem,1049
restraint,powściągliwość,1050
mutilated,okaleczony,1051
maneuver game,gra manewrowa,1052
bailout,ratowanie,1053
overalls,kombinezon,1054
peace of mind,święty spokój,1055
meniscus,łąkotka,1056
"slender hull, shallow draft, and low freeboard","smukły kadłub, małe zanurzenie i niska wolna burta",1057
agitated,wstrząśnięty,1058
interim,okres przejściowy,1059
commitment,zaangażowanie,1060
pre-existing,istniejące wcześniej,1061
tibia,piszczel,1062
femur,kość udowa,1063
portray,przedstawiać,1064
indicated,wskazany,1065
patellar tendon,ścięgna rzepki,1066
aftermath,następstwa,1067
inadvertent,nieumyślny,1068
line up,uszeregować,1069
indefatigable,niestrudzony,1070
conjecture,przypuszczenie,1071
very keen,bardzo chętnie,1072
doable,wykonalny,1073
moron,idiota,1074
inclusion,włączenie,1075
frantic,oszalały,1076
gracious,łaskawy,1077
crutches,kule kalekiego,1078
commissary,kantyna,1079
during scrambles,podczas wyścigów,1080
easily winded,łatwo nakręcany,1081
few things are harder to put up with than the annoyance of a good example.,niewiele rzeczy jest trudniejszych do zniesienia niż irytacja dobrego przykładu.,1082
embodiment,wcielenie,1083
hooked up,podłączony,1084
wincing,krzywiąc się,1085
discouraged,zniechęcony,1086
proprioceptive properties,właściwości proprioceptywne,1087
rerupture,ponowne zerwanie,1088
indescribable,nie do opisania,1089
blood thinners,rozcieńczalniki krwi,1090
sprawl out,rozwalać się,1091
beforehand,uprzednio,1092
squeamish,wrażliwy,1093
opted,zdecydował się,1094
evoke,przywołać,1095
unified,zjednoczony,1096
distinctly,wyraźnie,1097
"inclined
",skłonny,1098
invalided,unieważniony,1099
subsided,ucichł,1100
slew,obrót,1101
savagely,dziko,1102
allowance,dodatek,1103
relinquish,porzucić,1104
fondness,sentyment,1105
inclined,skłonny,1106
well-endowed,dobrze wyposażony,1107
applauding,brawo,1108
reckles,nieostrożny,1109
gauge the scope,zmierzyć zakres,1110
feasibility,wykonalność,1111
dysentery,czerwonka,1112
stalmate,pat,1113
bayonet,bagnet,1114
subservient,służalczy,1115
slight,niewielki,1116
life pattern,wzór życia,1117
leaky bowel syndrome,zespół nieszczelnego jelita grubego,1118
can elicit in the bowels,może wydobyć się w jelitach,1119
thoughtlessly halve.,bezmyślnie podziel na pół.,1120
unlivable,nie do zamieszkania,1121
follicular maturation,dojrzewanie pęcherzykowe,1122
ransacked,splądrowany,1123
reconciliation,pojednanie,1124
fuss,zamieszanie,1125
stairwell,klatka schodowa,1126
badge,odznaka,1127
prejudice,uprzedzenie,1128
retreat,wycofać się,1129
cranky batter,zepsute ciasto,1130
inebriated,nietrzeźwy,1131
walking briskly,energicznie chodzić,1132
fear mongering,sianie strachu,1133
reverence for life,szacunek dla życia,1134
rallied,zebrał,1135
"
    tomannsbolig",semi-detached house,1136
bypassing,omijanie,1137
herd,stado,1138
incapacity,nieudolność,1139
hang glider,lotnia,1140
", far more egregious",", znacznie bardziej skandaliczne",1141
electricity outages,przerwy w dostawie prądu,1142
stem cells,komórki macierzyste,1143
drooling,ślinienie się,1144
stroking,głaskanie,1145
pancreating,trzustka,1146
alveoli,pęcherzyki płucne,1147
least,najmniej,1148
flickers,migocze,1149
sophisticated,wyrafinowany,1150
blood vessels,naczynia krwionośne,1151
certain kinds of cognitive issues,niektóre rodzaje problemów poznawczych,1152
dire straits,powazne klopoty,1153
gets imperiled,staje się zagrożony,1154
utterly obnoxious.,całkowicie nieznośny.,1155
upholstery,tapicerka,1156
legumes,rośliny strączkowe,1157
high fiber,bogate w błonnik,1158
due,z powodu,1159
defined by,określony przez,1160
underlined,podkreślone,1161
peek-a-boo,zabawa w chowanego,1162
surreal,surrealistyczne,1163
egregious,skandaliczny,1164
astounding,zdumiewający,1165
gown,fartuch lekarza,1166
decried,potępiony,1167
bedevil,sponiewierać,1168
carcasses,tusze,1169
bottom line,dolna linia,1170
repurposing,zmiana przeznaczenia,1171
meaningful way,znaczący sposób,1172
repurpose a facility,zmienić przeznaczenie obiektu,1173
appendix,dodatek,1174
more the merrier,"im więcej, tym lepiej",1175
bear in mind,miej na uwadze,1176
the scope,zakres,1177
foiled a plot,udaremniłem fabułę,1178
gravel bed,żwirowe łóżko,1179
feast,uczta,1180
purified,oczyszczone,1181
hand over,przekazać,1182
exuberance,bujność,1183
juggernauts,żonglerzy,1184
as thick as grasshoppers,gruby jak koniki polne,1185
rustler,koniokrad,1186
altered the legitimate brand,zmienił legalną markę,1187
tire out,zmeczyc sie,1188
alveoli,pęcherzyki,1189
sustained serious injury,doznał poważnych obrażeń,1190
agenda,program,1191
vinegar,ocet,1192
the art of fearless seduction,sztuka nieustraszonego uwodzenia,1193
meltdown,krachu,1194
inadequate,niewystarczający,1195
foods stamps,znaczki żywności,1196
defy,przeciwstawiać się,1197
allocating,przydzielanie,1198
swooped up debt,zaciągnął dług,1199
swooped funds,zebrał fundusze,1200
vulture,sęp,1201
bondholders,obligatariusze,1202
uncircumcised guy,nieobrzezany facet,1203
rehydrating,nawadnianie,1204
dehydrating,odwodnienie,1205
provision,zaopatrzenie,1206
conscious,świadomy,1207
dismal failure,nieudacznik,1208
dismal,ponury,1209
flat out with work,mieszkanie z pracą,1210
deprived,pozbawiony,1211
covenant,przymierze,1212
defamation,zniesławienie,1213
"this once had huge clout,","to kiedyś miało ogromny wpływ,",1214
advertising revenue,przychody z reklam,1215
stork,bocian,1216
inconvenience,niewygod,1217
used up,zużyte,1218
divinely,bosko,1219
flotsam,flotsam,1220
set off,wyruszać,1221
relying,polegać,1222
sustained,trwały,1223
testicular,jąder,1224
perpetuity,wieczność,1225
hoax,oszustwo,1226
grievance,skarga,1227
ignited,zapalony,1228
likelihood,prawdopodobieństwo,1229
travesty,parodia,1230
compelling,zniewalający,1231
doomed,stracony,1232
debunk,demaskować,1233
embarked,zaokrętowany,1234
check tyres for wear.,sprawdź opony pod kątem zużycia.,1235
stash,"przechować, schowek, przechowalnia",1236
sentinel,strażnik,1237
negligible,nieistotny,1238
outmatch,przewyższać,1239
revise,poprawić,1240
review,przejrzeć,1241
public utility,użyteczności publicznej,1242
conducting,prowadzenie,1243
outmaneuvered,wymanewrowany,1244
vast,ogromny,1245
heeded,uważaj,1246
bungled,spartaczył,1247
proved far shrewder,okazało się znacznie mądrzejszy,1248
reckoned,liczone,1249
endowed,obdarowany,1250
aircraft carrier,lotniskowiec,1251
removal,fjerning,1252
dagger,sztylet,1253
inferior,gorszy,1254
typo,literówka,1255
hustler,agresywny przedsiebiorca,1256
hustler,energiczny człowek,1257
baptism,chrzciny,1258
bloodshed,rozlew krwi,1259
avoid,uniknąć,1260
assault,atak,1261
all rounder,wszechstronny,1262
missile,pocisk,1263
saturated,nasycony,1264
dispose,dysponować,1265
outrage,"skandal; zniewaga, obraza",1266
do you know where is,vet du hvor er,1267
madrass,materac,1268
foes,wrogowie,1269
vanguard,awangarda,1270
oblique kick,kopnięcie ukośne,1271
glass cannon fighter,myśliwiec armat ze szkła,1272
floating ribs,pływające żebra,1273
severe concussion,ciężkie wstrząśnienie mózgu,1274
belches,beki,1275
repurposed,przerobiony,1276
barns,stodoły,1277
feed mill,młyn paszowy,1278
hatchery,wylęgarnia,1279
overseeing,nadzorowanie,1280
inexorable,nieubłagany,1281
lure,wabik,1282
pros and cons,plusy i minusy,1283
turnips,rzepa,1284
peat,torf,1285
poacher,kłusownik,1286
revved,rozkoszował się,1287
demeaning,poniżający,1288
seizing,chwytanie,1289
goodwill,życzliwość,1290
goodwill,velvilje,1291
recall,odwołanie,1292
walloped,walił,1293
contagious,zarazliw,1294
respectively,"odpowiednio, kolejno",1295
utilities and grid companies,przedsiębiorstwa użyteczności publicznej i sieci,1296
soaker tub,wanna z hydromasażem,1297
hubby,mężulek,1298
discharged,rozładowany,1299
racketeering,gangsterstwo,1300
racketeering,kanciarstwo,1301
selflessness,bezinteresowność,1302
battered,poobijany,1303
deadlock,impas,1304
croak,rechot,1305
exploit,wykorzystać,1306
topple,przewracać się,1307
it's stuck.,den sitter fast.,1308
possess,posiadać,1309
forgiving,wyrozumiały,1310
curiosity,ciekawość,1311
toggle on,włączyć,1312
lavish wife,wystawna żona,1313
vertices,wierzchołków,1314
she said in an interview that she believed conscience and work ethic are indispensable in running a business.,"powiedziała w wywiadzie, w który wierzyła, że ​​sumienie i etyka pracy są niezbędne w prowadzeniu biznesu.",1315
nodes,węzły,1316
malice,złośliwość,1317
isosceles,równoramienny,1318
intersect,przecinają,1319
cuddle,przytulać,1320
credibility,wiarygodność,1321
compromise,kompromis,1322
are a relatively prevalent,są stosunkowo powszechne,1323
acquisition,nabycie,1324
contagious,zaraźliwe,1325
protrudes,wystaje,1326
contamination,zanieczyszczenie,1327
haul,zaciąg,1328
thoracic duct,przewód piersiowy,1329
revoke access,cofnąć dostęp,1330
sustainable,zrównoważony,1331
enlist,zwerbować,1332
levy,nałożyć,1333
trounce,sprać,1334
recounts,opowiada,1335
plight,sytuacja,1336
willpower,siła woli,1337
quantity has a quality all its own.,ilość ma swoją własną jakość.,1338
to surmount,przezwyciężyć,1339
mismatch,niedopasowanie,1340
huge blunder,ogromny błąd,1341
i feel dreadful,czuję się okropnie,1342
remembered,zapamiętane,1343
miscarriages,poronienia,1344
stem cell,komórka macierzysta,1345
oncoming traffic,nadjeżdżający ruch,1346
correctly angled,prawidłowo ustawiony,1347
campaign stunt,wyczyn kampanii,1348
underpin,podbudować,1349
bafflingly,zaskakująco,1350
hooves,kopyta,1351
magnified,powiększony,1352
retrace,odtwarzać,1353
seized,zajęty,1354
audacious plan,zuchwały plan,1355
inferior ranking,gorszy ranking,1356
embark,start,1357
embark,zaokrętować,1358
freckles,piegi,1359
hemisphere,półkula,1360
relaunching,ponowne uruchomienie,1361
sly,chytry,1362
inhabitants,mieszkańcy,1363
cunning,przebiegły,1364
to plot,spiskować,1365
trait,cecha,1366
homage,hołd,1367
homeage,domostwo,1368
imposed,narzucone,1369
deprive,pozbawiać,1370
brace,klamra,1371
retrieved,odzyskano,1372
renunciation,zrzeczenie się,1373
queued,w kolejce,1374
on par,na równi,1375
militant,wojowniczy,1376
faithless,niewierny,1377
awash,zalany,1378
seamless,bezszwowy,1379
psychics,wróżki,1380
octopus,ośmiornica,1381
deliberations,obrady,1382
keep up,nadążać,1383
upheld,podtrzymany,1384
"run away secretly in order to get married, especially without parental consent. elope","uciekaj potajemnie, aby wziąć ślub, szczególnie bez zgody rodziców.  zbiec",1385
"run away secretly in order to get married, especially without parental consent.","uciekaj potajemnie, aby wziąć ślub, szczególnie bez zgody rodziców.",1386
flossing,nici dentystyczne,1387
rip you off,rozerwać cię,1388
broker,pośrednik,1389
perks,profity,1390
vintage,zabytkowe,1391
deteriorating,pogarsza się,1392
contradicting,sprzeczne,1393
scab,parch,1394
misogyny,mizoginia,1395
footage,nagranie,1396
inapt,ciężki,1397
inwards,do wewnątrz,1398
navel,pępek,1399
ladder,drabina,1400
durable,trwały,1401
grid,krata,1402
standstill,zastój,1403
thistle,oset,1404
nettle,pokrzywa,1405
legitimately,słusznie,1406
glutton,żarłok,1407
scam,oszustwo,1408
inept,niedorzeczny,1409
predecessor,poprzednik,1410
derail,wykoleić,1411
chatter,gadać,1412
ignited,zapalił się,1413
historical distortions,historyczne zniekształcenia,1414
"following the public outcry, the law was altered",po publicznym oburzeniu prawo zostało zmienione,1415
uproar,wrzawa,1416
might reignite old controversies and even exacerbate them,"może wznowić stare kontrowersje, a nawet je zaostrzyć",1417
obscures,zasłania,1418
"если бы мужчины знали, о чём думают женщины, они ухаживали бы в двадцать раз смелее. (альфонс карр)","gdyby ludzie wiedzieli, o czym myślą kobiety, zajęliby się dwadzieścia razy odważniej.  (alphonse carr)",1419
sprawling,rozwalony,1420
mugging,rabunek,1421
sputum,plwocina,1422
bronchitis,zapalenie oskrzeli,1423
derogatory,uwłaczający,1424
gender,płeć,1425
grave,mogiła,1426
desolate,opuszczony,1427
inuit,inuit,1428
implicate,wplątać,1429
carry on,kontynuować,1430
worship,kult,1431
thunderstruck,oszołomiony,1432
minced,mielony,1433
toothpick,wykałaczka,1434
possessive,zaborczy,1435
baroness,baronowa,1436
intimidated,onieśmielony,1437
thrill,dreszczyk,1438
look forward,patrzeć w przyszłość,1439
interconnect,połączyć się,1440
undercut,podcięcie,1441
confinement,uwięzienie,1442
footsie,footsie,1443
alignment,wyrównanie,1444
intertwining,przeplatają się,1445
appendages,przydatki,1446
his lap,jego kolano,1447
straddle,stanąć rozkrakiem,1448
bestride,rozkraczyć się,1449
straddling,okrakiem,1450
grinding machine,maszyna do mielenia,1451
clitoral,łechtaczka,1452
association,stowarzyszenie,1453
harassment,dokuczanie,1454
insist on your,nalegać na twoje,1455
overlapping,nakładające się,1456
whine,skomleć,1457
swab,wacik,1458
tilt,przechylenie,1459
bereft,pozbawiony,1460
interim,tymczasowy,1461
wither,obumierać,1462
bib,śliniaczek,1463
floating city,pływające miasto,1464
inefficient,nieskuteczny,1465
aroused,podniecony,1466
diminishing,malejący,1467
recap mind,przypomnij sobie,1468
retrieval egg,jajko do pobierania,1469
deductible,odliczenie,1470
nausea,nudności,1471
mild cramping,łagodne skurcze,1472
cramping,skurcze,1473
declined,odmówił,1474
descending aorta,"tętnica zstępująca, największa tętnica w ciele człowieka",1475
have spotting,mieć plamienie,1476
retrievals,pobieranie,1477
penty liners,mnóstwo wkładek,1478
deterring,odstraszanie,1479
staffed by,obsadzony przez,1480
conducted,przeprowadzona,1481
the mindset,sposób myślenia,1482
forensic reconstruction,rekonstrukcja kryminalistyczna,1483
junction,węzeł,1484
conjection,odrzucenie,1485
endorse,podpisać się,1486
misconduct,złe prowadzenie się,1487
flopping out,wyskakuje,1488
intimidate,zastraszyć,1489
dust my blinds,odkurzyć moje rolety,1490
tackling,walczyć,1491
flagged,taflowy,1492
inevitable,nieunikniony,1493
hive,ul,1494
recuperation,regeneracja,1495
omission,pominięcie,1496
immediate,natychmiastowy,1497
backlash,reakcja,1498
diagonals,przekątne,1499
rave,majaczyć,1500
peninsula,półwysep,1501
utterly,całkowicie,1502
blaze,płomień,1503
solitary confinement,odosobnienie,1504
vicinity,sąsiedztwo,1505
cognition,poznawanie,1506
trigger cause,przyczyna przyczyny,1507
trigger,spust,1508
lame,kuleje,1509
impressed,pod wrazeniem,1510
loyal,wierny,1511
confine,ograniczać,1512
tense situation,napięta sytuacja,1513
dominant strain,dominujący szczep,1514
stem,łodyga trawy,1515
stem,trzon,1516
wedlock,małżeństwo,1517
underneath the mistletoe,pod jemiołą,1518
sought,poszukiwane,1519
gutter,rynna,1520
revoke,unieważnić,1521
redundant,nadmiarowe,1522
redemption,wykup,1523
reckless,lekkomyślny,1524
rear,tylne,1525
ravens,kruki,1526
profound,głębokie,1527
perpendicular,prostopadły,1528
redemption,odkupienie,1529
oath,przysięgą,1530
neglect,zaniedbania,1531
forsake,porzucić,1532
evokes,przywołuje,1533
counterfeited,podrobione,1534
came upon,przyszedł na,1535
bizarre,dziwaczny,1536
bereft of reason,pozbawiony rozumu,1537
atone,odpokutować,1538
acne,trądzik,1539
abandoned romanticize concept,koncepcja porzuconej romantyzmu,1540
bout,atak,1541
substantial progress,znaczny postęp,1542
surged,wzrósł,1543
grovel,czołgać się,1544
summoned,wezwany,1545
complicity,współudział,1546
tuition,czesne,1547
disgruntled,niezadowolony,1548
grumpy,gderliwy,1549
fortifying,pokrzepiający,1550
relaps,nawroty,1551
laxatives,środki przeczyszczające,1552
bump,guz,1553
affidavit,oświadczenie,1554
whack,walnięcie,1555
moulting,linienie,1556
veal,cielęcina,1557
overcommit,nadmierne zaangażowanie,1558
polls,ankiety,1559
rewind,przewijanie do tyłu,1560
reference,punkt odniesienia,1561
ligaments,więzadła,1562
retirement,przejście na emeryturę,1563
mugger,rabuś,1564
stillborn,poroniony,1565
deviseth,wymyślać,1566
diagonal,przekątna,1567
stint,skąpić,1568
barebones,chudzielec,1569
rarefied,rozrzedzony,1570
deductible,do odliczenia,1571
wretched,nędzny,1572
constitute,stanowić,1573
venue,miejsce spotkania,1574
lineal champions,mistrzowie liniowi,1575
submerge,zanurzać,1576
grift,grift,1577
disinfect,odkazac,1578
masculine,rodzaj męski,1579
greedy,grådig,1580
louse,lus,1581
eczema,eksem,1582
whatsoever,w ogóle,1583
exaggerate,wyolbrzymiać,1584
caught up,dogonił,1585
tendin,ścięgno,1586
eczema,wyprysk,1587
mock,håne,1588
conjugate,sprzężony,1589
fatigue seeking,poszukiwanie zmęczenia,1590
intentional,zamierzony,1591
overterm,przekroczyć,1592
offsprings,potomstwo,1593
outlandish,obcy,1594
rinse,wypłukać,1595
cornea,rogowka,1596
glittering,błyszczące,1597
shuddered,zadrżał,1598
subjugate,ujarzmiać,1599
danger street,fare gate,1600
postpartum,po porodzie,1601
what's wrong,hva er galt,1602
extortion,wymuszenie,1603
hustling,krzątanina,1604
retrieval,wyszukiwanie,1605
stapler,zszywacz,1606
staple food,podstawowe pożywienie,1607
shackle,jarzmo,1608
vaginal discharge,upławy,1609
commodify,commodify,1610
flamethrower,miotacz ognia,1611
he insulted me,obraził mnie,1612
savage,brutalny,1613
carbolic acid,kwas karbolowy,1614
dusk,zmierzch,1615
