Front,Back
głaskanie,stroking [sound:sapi5js-10157298-9d399415-d5a8fb4a-a430b8e2-f2a941a6.mp3]
"trzustka<div><b>The exocrine pancreas produces enzymes that help to digest food, particularly protein.</b><b>The endocrine pancreas makes the hormone insulin,&nbsp;</b><br></div><div><img src=""image-77b8f2fbd5d14d55fbdfdbce8dc7bbb67424ac29.jpg""><b><br></b></div>",pancreating [sound:sapi5js-c11c8e11-a0914eda-f960dfec-692bf695-9e3e872f.mp3]
pęcherzyki płucne,alveoli [sound:sapi5js-66f90f60-bfc72d67-7321e8d9-1090dfa7-98fd19f6.mp3]
najmniej,least [sound:sapi5js-43032cb7-654eaece-f89d6ef8-173d3b9e-9e056bfb.mp3]
migocze,flickers [sound:sapi5js-b8446518-8a22e0c0-dde72774-13048eba-443c35e9.mp3]
wyrafinowany,sophisticated [sound:sapi5js-fa81b69a-738ab730-a87adf99-0a3a0a13-74b849e3.mp3]
Naczynia krwionośne,Blood vessels [sound:sapi5js-ad9a106f-3d0904c1-d26fb6c0-84d9de62-660c27eb.mp3]
niektóre rodzaje problemów poznawczych,certain kinds of cognitive issues [sound:sapi5js-8b108eed-732489b9-3840579d-f05b69ee-f7066bd4.mp3]
powazne klopoty<div>Nazwa jak ten zespol</div>,dire straits [sound:sapi5js-a9a177fb-32cc55d3-4a43f7b1-65cf03a7-ca390341.mp3]
"staje się zagrożony<div><img src=""paste-926c8d25310c976d0d6a64566581e7f75692551f.jpg""><br></div>",gets imperiled [sound:sapi5js-d986d57f-7eec771a-8f18cc36-8b8a1415-26806df9.mp3]
całkowicie nieznośny.<div><b>very unpleasant or rude</b><br></div>,utterly obnoxious. [sound:sapi5js-e88adf11-af652b6d-c20e403b-8334ea9e-a80233ff.mp3]
"tapicerka<div><img src=""image-5588c86ead3984695dab839f22283ed62a168e7c.jpg""><br></div>",upholstery [sound:sapi5js-9cc0b69e-4731a58b-9ee06473-fbbd7bee-d403a7d0.mp3]
Rośliny strączkowe,Legumes [sound:sapi5js-1cf6e0ed-3b4fb0b1-8cc7e488-2480ce23-00871f90.mp3]
bogate w błonnik,high fiber [sound:sapi5js-bc8fb050-582e87d3-bbf280ad-ae95da85-89cef50d.mp3]
z powodu ale tez porod<div><b>My wife is due in three weeks</b><br></div><div><b>The bus was delayed due to heavy snow</b><b><br></b></div>,due [sound:sapi5js-632efa68-cae82c20-77ad8069-7a815ad8-bca470c5.mp3]
"określony przez<div><img src=""image-50ea2c7ddc3121e9e5353af67235e72dbd8c1142.jpg""><br></div><div><img src=""image-2d7980e747aa4f9ab3271d169778800d7b447160.png""><br></div>",defined by [sound:sapi5js-1027ae60-3a1403b8-6ccbf141-76748744-92f9e86f.mp3]
podkreślone,underlined [sound:sapi5js-c7313d2e-38860e99-f174cb17-18b15d5b-536d3d37.mp3]
zabawa w chowanego,peek-a-boo [sound:sapi5js-47169aed-74c7bd19-a70f5654-c1b80f9b-26c4ae7b.mp3]
"surrealistyczne<div><img src=""image-5db0a2d1acc0112db96a6733fd07f52ac1305e36.jpg""><br></div>",surreal [sound:sapi5js-91e3f77b-d1e6c286-2cfa8311-8ddf149a-87fcd720.mp3]
skandaliczny,egregious [sound:sapi5js-4a54b23c-a9f10094-41e3e3d8-3dd5e0de-bd87f85b.mp3]
zdumiewający,astounding [sound:sapi5js-b367e042-d4058b12-9f542cde-a860eb07-1d273876.mp3]
Fartuch lekarza,gown [sound:sapi5js-1f851fef-95b31e52-cda23956-9a9c1bc9-b838db70.mp3]
"<div>Speak up</div><div>Odszyfrowac</div>Moze byc condemns ale zadko<div><img src=""image-584b4bd2215f158284467c5cfa2e5d8414bfcf14.jpg""><br></div>",decried [sound:sapi5js-e84d5e10-64472c05-e5aed7a6-37e79e01-b2ea9a9f.mp3]
sponiewierać,bedevil [sound:sapi5js-c4cb7cca-eaa0fe40-b87b35a0-10f8adc9-a0771ab8.mp3]
"tusze<div><img src=""image-80f014056c4ef6ab43c9c7b690415f7fc966d28c.jpg""><br></div>",carcasses [sound:sapi5js-cfdca59d-65de96c3-c771d6c4-93a17214-3b347fd0.mp3]
dolna linia,bottom line [sound:sapi5js-5e7c4bae-f63051ea-f25e98e8-d5b91e78-7c37ed58.mp3]
zmiana przeznaczenia,repurposing [sound:sapi5js-1bc550a0-91fb8211-e774a35b-52e64eb7-50cc3bda.mp3]
"znaczący sposób<div><img src=""image-328543f2bedb297c7f0793542f24bc455ac96845.jpg""><br></div>",meaningful way [sound:sapi5js-a869e440-3f1bcfa1-532f5552-14e16c03-5389c548.mp3]
zmienić przeznaczenie obiektu,repurpose a facility [sound:sapi5js-3211c613-45199eda-721bfefc-830ece51-d4351803.mp3]
dodatek,appendix [sound:sapi5js-8f5fd116-ee533ab7-42e9c7f5-cff14913-938cf834.mp3]
"im więcej, tym lepiej<div><img src=""image-bd506dacb8cc4532fe1de788f34aa3903c87f3bd.jpg""><br></div>",more the merrier [sound:sapi5js-60d1d214-3347e81a-94bd8dc9-04eeb71f-ad8847d7.mp3]
miej na uwadze,bear in mind [sound:sapi5js-cd88f848-34f242fb-255df2f6-f93b159b-4bfab1e3.mp3]
zakres,the scope [sound:sapi5js-2ba25cc4-3493b72e-f878c65a-0552e6b2-6a8b8b03.mp3]
udaremniłem fabułę,foiled a plot [sound:sapi5js-e5a92439-33dc74f3-6a277828-0996077e-3efe4510.mp3]
żwirowe łóżko,gravel bed [sound:sapi5js-065e9301-c34e200c-b0122f6d-e2e11183-3d78454a.mp3]
"uczta<div><img src=""image-debb4825e3e05767fa0636b588743106c677604c.jpg""><br></div>",feast [sound:sapi5js-818e1b36-7842d1ce-46d0ac30-1d43615a-5bba3456.mp3]
oczyszczone,purified [sound:sapi5js-fd7fcf04-48dc1a01-4be30160-5168d922-d2a48cab.mp3]
przekazać,hand over [sound:sapi5js-df82e6fa-89ab7715-7095bafe-129e1fcd-355c05da.mp3]
"bujność<div><br></div><div>the quality of being full of energy<br></div><div><img src=""paste-c3325917a03066ab701e0ff946417d1d73442d76.jpg""><br></div>",exuberance [sound:sapi5js-1864fbf9-30785c4f-9f630962-3f963dd2-ba5bda0b.mp3]
"żonglerzy, massive force crush everything&nbsp;<div><img src=""paste-e778a492299893eabe222b52130db46950a3a134.jpg""><br></div>",juggernauts [sound:sapi5js-a28d10a7-d6f0cbcc-55761db4-2f572530-a617883e.mp3]
gruby jak koniki polne,as thick as grasshoppers [sound:sapi5js-0fe450f2-d0536880-b977759e-e8b31631-a3ffafa0.mp3]
"<div><img src=""image-abecd2df5a11979d257b495d898fae27c318aee8.jpg""><br></div><div><img src=""image-747394c797b6cc2b2f51826dd7f6dc60afe1344d.jpg""><br></div><div><br></div><div><br></div>koniokrad",rustler [sound:sapi5js-de7d3984-1265b9f4-aa671cca-9f1ae2f3-170e225d.mp3]
zmienił legalną markę,altered the legitimate brand [sound:sapi5js-572127ed-2b921a0e-96cd039f-52ac6e58-45badb77.mp3]
Zmeczyc sie,tire out [sound:sapi5js-b45cbc41-37eef0a4-2df61d7f-b2ed96c7-1597d8e8.mp3]
"pęcherzyki pluc<div><img src=""image-583cc71041f76e982f59f5a92a71278c4e385c4b.jpg""><br></div>",alveoli [sound:sapi5js-66f90f60-bfc72d67-7321e8d9-1090dfa7-98fd19f6.mp3]
doznał poważnych obrażeń,sustained serious injury [sound:sapi5js-72f57bde-67dc5641-bf8f38a8-d2a7c2ce-0261f4ad.mp3]
program,agenda [sound:sapi5js-6aecae04-d9171409-e8735094-ef56f226-84d0ef74.mp3]
ocet,vinegar [sound:sapi5js-33a2170a-381a2de5-cc4b719c-0e15ed65-222c28d6.mp3]
"Sztuka nieustraszonego uwodzenia<div><img src=""image-e474a418142ae5cab44380bb79f7de10a7dd8b8a.jpg""><br></div>",The Art of Fearless Seduction [sound:sapi5js-02ddd44f-597e38ad-9504a571-e2d6cbcc-8a14726a.mp3]
krachu,meltdown [sound:sapi5js-bd0fd87b-c9fbbef2-b2e92861-1f845699-27372955.mp3]
niewystarczający,inadequate [sound:sapi5js-1bb6afd9-ca70304b-95ef54d1-c91660b8-4d271aea.mp3]
znaczki żywności,foods stamps [sound:sapi5js-ea81520c-c631796f-bd64e18d-0877425a-3af63604.mp3]
"przeciwstawiać się<div><img src=""image-f5f2b407d33fd328b1112a941238d3764c961afa.jpg""><br></div><div><img src=""image-afc2e5b63f3f35db6fb3227b1bdc16690332f6f7.jpg""><br></div><div>OPENLY RESISTED</div>",defy [sound:sapi5js-b44f44db-814a409b-495f1db4-a6d30245-56e11186.mp3]
przydzielanie,allocating [sound:sapi5js-4e791799-cc65ff12-eadf3771-2098eac8-daa8c501.mp3]
"zaciągnął dług<div><img src=""image-6b1ea1cb29b4fe5b1225115a6c9b107cb3e0fc60.jpg""><br></div>",swooped up debt [sound:sapi5js-c5db8ae0-26fd97b2-5b815453-0c0f2696-472a0f3b.mp3]
zebrał fundusze,swooped funds [sound:sapi5js-3f12100d-2b607f22-470611f1-b154c956-2c950401.mp3]
"sęp<div><img src=""paste-a3579d327feb0f309518adb68978db3b4ad4f74d.jpg""><br></div>",vulture [sound:sapi5js-b9d31527-3ba492e7-0f0c2e89-b10fceaf-4cda954b.mp3]
obligatariusze,bondholders [sound:sapi5js-36e8919a-6775dce1-9e583971-18301619-6423a3f4.mp3]
"nieobrzezany facet<div><img src=""image-89fdcbee75d02019738cce65e9dbe5b21e4729b4.jpg""><br></div>",uncircumcised guy [sound:sapi5js-1cf651ed-82b8a640-2cb5e2ac-d3da6a7c-25dc5f3d.mp3]
nawadnianie,rehydrating [sound:sapi5js-e1d6e330-58b83014-063fedf3-caace39d-9277b4ee.mp3]
odwodnienie,dehydrating [sound:sapi5js-5043b4ae-6a8656ba-24cc21c7-eac90d74-85e0a278.mp3]
zaopatrzenie,provision [sound:sapi5js-7d95b2c7-6d98dbac-34bdbe13-15c00553-edf29395.mp3]
świadomy,conscious [sound:sapi5js-10ce9aa7-26c67fda-60f1025c-26bdb201-c411ec2e.mp3]
Nieudacznik,dismal failure [sound:sapi5js-b9c0ece7-b289496c-ef02e07b-77c8fc66-0793b1ab.mp3]
"ponury<div><b>gloomy; dreary</b><br></div><div><img src=""image-374e380e180d413fc3d0b3c763e7b643a77e57bd.jpg""><b><br></b></div>",dismal [sound:sapi5js-aabae442-3fbf26dc-be83b915-c7dcfa25-31a790ac.mp3]
mieszkanie z pracą,flat out with work [sound:sapi5js-7d473191-c0b9aaa8-05b333dc-c3cbb938-2a1cd1cd.mp3]
"pozbawiony np snu<div><img src=""image-b004c03cfcc23177af88b9e18323b7655b0b6b7a.jpg""><br></div>",deprived [sound:sapi5js-a0d45812-ef232c74-a94f310d-abb0b284-13ef09c0.mp3]
"przymierze<div><img src=""image-0072980f57ad80fb03bb66c901d263c31e7d3c7c.jpg""><br></div><div>Gods covenant</div>",covenant [sound:sapi5js-7f01223f-669c44eb-d8d6b293-68f05510-172957f0.mp3]
Zniesławienie,Defamation [sound:sapi5js-725ef0c8-e1ec0424-6f48e179-a63e1072-a9a5214f.mp3]
"To kiedyś miało ogromny wpływ,","This once had huge clout, [sound:sapi5js-233d3d59-ea2c784a-d641270d-769b4d21-b853b735.mp3]"
przychody z reklam,advertising revenue [sound:sapi5js-1e3a2972-85c12b0a-f9a6c7a6-56a8b173-df71e5e8.mp3]
bocian,stork [sound:sapi5js-5ae50693-d441cb5b-e08518d4-e0c1fa95-48b758f2.mp3]
niewygod,inconvenience [sound:sapi5js-8fd328da-4b15e181-1a583570-f4b68acc-2ff869fb.mp3]
zużyte,used up [sound:sapi5js-bb2f3c82-72bce96e-bb98fe1d-0dc76cd4-21f21ffd.mp3]
Bosko,Divinely [sound:sapi5js-207e05fe-df090251-430eb0dd-a71a116f-0299b724.mp3]
flotsam,flotsam [sound:sapi5js-41ad5047-d60e94da-89348cd0-b42f401b-2955d52c.mp3]
"wyruszać<div><img src=""image-a2d7a7ba8b8686da77c29e515989600939a9a4a8.jpg""><br></div>",set off [sound:sapi5js-2e87c04e-42a45558-6cd6fa6b-24e39226-c327487c.mp3]
polegać,relying [sound:sapi5js-7c5e7e2d-be84ea1d-bf1feba9-6e73dce9-b03dea80.mp3]
jąder,testicular [sound:sapi5js-8497711c-404f7bb9-083e6ed2-0e85da70-b98110c7.mp3]
wieczność,perpetuity [sound:sapi5js-d88a9f1e-4dea331b-bbe0fe63-85e718de-39f19d1f.mp3]
oszustwo,hoax [sound:sapi5js-9fd6ab3f-c6b97e6a-ce6c3158-6e6c5e7f-1afa2ebd.mp3]
skarga,grievance [sound:sapi5js-d98ac06e-e83a777c-e0397a8c-562c80f3-56de7886.mp3]
zapalony,ignited [sound:sapi5js-fcd29654-cacc27d5-1bcf662c-a1f33492-fce451b9.mp3]
prawdopodobieństwo,likelihood [sound:sapi5js-836db3c5-06e2bcea-a80f1e46-5ae3dfb8-6f07fc48.mp3]
<b>parodia</b><div><i>the absurdly lenient sentence is a travesty of justice</i></div>,travesty [sound:sapi5js-43531865-e7b2132e-4d96c491-4464d9de-3f668e0e.mp3]
zniewalający&nbsp;<div>ale compel to zmuszac</div><div><div><div>the temptation to give up was <b>compelling</b></div></div><div><div>a <b>compelling</b> film</div></div><div><div>his eyes were strangely <b>compelling</b></div></div><div><div><b>compelling</b> evidence</div></div><div><div>a <b>compelling</b> argument</div></div></div><div>&nbsp;Compare porownywac</div>,compelling [sound:sapi5js-f9c99a71-8e06a2c8-0a9ee338-6960101f-5db070a1.mp3]
stracony,doomed [sound:sapi5js-67038568-7a3292a0-b6df44b5-2f8a4d9f-2446bbd5.mp3]
demaskować,debunk [sound:sapi5js-c17543ad-a33dc759-f5f2f906-957c7cb3-8c4259dc.mp3]
"zaokrętowany<div><img src=""image-16e9e0660d54135792eb810fbee5914bffb63e2e.jpg""><br></div>",embarked [sound:sapi5js-bfa2722e-ee56d4d6-31e33032-6691c022-9a0a4c42.mp3]
"Sprawdź opony pod kątem zużycia.<div><img src=""image-b938fd091ca1314d2282a2d9570c3a05b006e031.jpg""><br></div>",Check tyres for wear. [sound:sapi5js-ea18026c-1df41072-ad0e1d03-80df7a4d-945683b1.mp3]
"przechować, schowek, przechowalnia<div><img src=""image-15719f4f5b5fe23ee50c76bd5d6e624d68996ab7.jpg""><br></div>",stash [sound:sapi5js-84252836-f999374d-c8920292-4816de7d-ec329fe9.mp3]
strażnik,sentinel [sound:sapi5js-b6074bbd-936efbd5-0816ae41-c35fd1ee-58b11c96.mp3]
nieistotny,negligible [sound:sapi5js-e3de9bf6-3f36dece-3b43796a-c01b2686-54d58821.mp3]
przewyższać,outmatch [sound:sapi5js-9bc63750-9ab5f087-a55f6ee2-cb78d51e-92846954.mp3]
Poprawić,revise [sound:sapi5js-daba1162-35fb28c7-d0e96ca1-58ff4732-94ee4210.mp3]
przejrzeć,review [sound:sapi5js-8a9c8651-f636ba5f-147466d0-726737e8-47691bd7.mp3]
użyteczności publicznej,public utility [sound:sapi5js-1069cc98-d939f75c-4be3c1c5-9be210d1-bf64d935.mp3]
prowadzenie,conducting [sound:sapi5js-be374fc8-dcfd249d-1193e82a-602feb17-c21b2d88.mp3]
wymanewrowany,outmaneuvered [sound:sapi5js-9743b7d0-3d2886a8-2c11c881-c3b20a03-bba60a16.mp3]
ogromny,vast [sound:sapi5js-c3a0d7cc-21104d15-8d1ceac3-5fc08c0d-312e5d38.mp3]
"uważaj<img src=""image-ad7c8bb66158c537114c563ce750a8a9670496c2.jpg""><div>Pay attention&nbsp;</div>",heeded [sound:sapi5js-20e90435-1ac04cb9-0ecd6392-14a4ca26-17430f6a.mp3]
spartaczył,bungled [sound:sapi5js-cc9fb28f-e6acebb0-c7ad5d1b-bedefc8b-e73a4a33.mp3]
okazało się znacznie mądrzejszy,proved far shrewder [sound:sapi5js-f9056349-3192bf63-11282b35-7cb10d32-6cca6cb1.mp3]
"liczone<div><img src=""paste-309ad07fe6788fe05cc14f28711b7e76f8032219.jpg""><br></div>",reckoned [sound:sapi5js-f297ca68-5cabcb8b-c3096b10-3f75abbe-39cdf33a.mp3]
"obdarowany&nbsp;<div>Provide with ability&nbsp;</div><div><img src=""paste-987520aaaaac7cfc12c9e44f5d0ce5c329101eb6.jpg""><br></div>",endowed [sound:sapi5js-3ff8991c-804b49e4-319a522e-53caaa3a-6a759889.mp3]
lotniskowiec,aircraft carrier [sound:sapi5js-5086ecf3-698e486f-e0e0647e-d945fd3f-2b98fe5b.mp3]
removal,removal [sound:sapi5js-1a80efc4-68519555-0a017d97-350616ac-2d555f72.mp3]
"sztylet<div>&nbsp; dagger is a fighting knife with a very sharp point&nbsp;</div><div><img src=""image-790573451599368fa406bef5463586f161835370.jpg"">&nbsp;<br></div>",dagger [sound:sapi5js-46438a9c-6eead680-51108718-83adc782-e9f6e883.mp3]
gorszy,inferior [sound:sapi5js-ee4d7bc5-d8cc76b1-b001515d-c333c398-56f8d902.mp3]
literówka,typo [sound:sapi5js-4afe48c7-fb26f9e6-324944e3-7cb295de-6af0596f.mp3]
Agresywny przedsiebiorca,hustler [sound:sapi5js-7e13c719-ae1c8644-5b3dd601-5a2ed57e-d7c31ce3.mp3]
energiczny człowek,hustler [sound:sapi5js-7e13c719-ae1c8644-5b3dd601-5a2ed57e-d7c31ce3.mp3]
chrzciny,baptism [sound:sapi5js-58c038bd-2ed14478-334fc6d5-da138194-85829988.mp3]
rozlew krwi,bloodshed [sound:sapi5js-a8d8f8d7-0eefd358-09c0d831-5cba6599-b66b1f9c.mp3]
uniknąć,avoid [sound:sapi5js-ce809903-8291c83b-4c08db78-cf1966d2-c268452e.mp3]
atak,assault [sound:sapi5js-baa67725-fbec7f71-148c60e5-e45e0a45-7d954979.mp3]
wszechstronny,all rounder [sound:sapi5js-4111df3d-7bfd1b10-0974c639-67d894b3-836c9d0c.mp3]
pocisk,missile [sound:sapi5js-194dc822-f4c18e9d-2c738a80-f2fe4a93-c0d0378f.mp3]
nasycony,saturated [sound:sapi5js-da8b4e72-032f1abb-697bbc40-5a9bffdc-9d4c98ef.mp3]
"dysponować<div>Pozbyc</div><div><img src=""image-6c888d7fdba3ce662a161eaab77aafc1b1126ac9.jpg""><br></div>",dispose [sound:sapi5js-c28345d1-63505ab0-89bb9dc5-03e2b159-fb771ccb.mp3]
"skandal; zniewaga, obraza",outrage [sound:sapi5js-39b454c8-222b146c-02ba57dd-38bdb09c-0420f5b9.mp3]
do you know where is,do you know where is [sound:sapi5js-33ce0f6e-67b8e973-5aa98e35-876c3817-f991d6cd.mp3]
"materac<div><img src=""image-cd2e5a8c80971fc8f42cb750ecd4f2a7c75782e8.jpg""><br></div>",madrass [sound:sapi5js-d514d349-6d6d8343-2b9a91e9-3e87c68d-4190aae6.mp3]
"wrogowie<div><img src=""paste-80ac954a6ff7641076219dfe2fcde98bf67791f9.jpg""><br></div>",foes [sound:sapi5js-c3c86ce8-1f068217-1a41687e-a32f3032-f82de119.mp3]
"<img src=""image-f49aa8d8ca59ac02b438e2c7678931ed4483dc25.jpg""><div><img src=""image-43e140726a68c6ec337fc67552ad466c55ca9b5d.jpg""><br></div>",vanguard [sound:sapi5js-5bd1427c-441a2e07-5de0108c-b129fe1d-3d113f98.mp3]
kopnięcie ukośne,oblique kick [sound:sapi5js-c03def58-db517c1f-5bff8347-fef90fd3-f82039d4.mp3]
myśliwiec armat ze szkła,glass cannon fighter [sound:sapi5js-0b6c947b-11414c1f-2e11caa4-8c9425ed-33dc0802.mp3]
pływające żebra,floating ribs [sound:sapi5js-982eaa34-64ad8bee-73eda622-7eb0a69f-5d9a0e68.mp3]
ciężkie wstrząśnienie mózgu,severe concussion [sound:sapi5js-3b5d0716-8d22c0e0-10f75ad0-68ad9fe9-3b72cc23.mp3]
beki,belches [sound:sapi5js-4584306a-1a14d9bf-5c5ec628-f5c79b6b-c960f78d.mp3]
"przerobiony<div><img src=""image-b44ced539ff4983eddc468b5c05ad86dc7a9da35.jpg""><br></div><div><img src=""image-00f34cf5ff9414dc12fbaec6cf611be78b5e4c19.jpg""><br></div>",repurposed [sound:sapi5js-b2744d8b-44fc47a5-f91f6711-91d1dc91-96c313fc.mp3]
stodoły,barns [sound:sapi5js-c5af8d67-e54ffd45-8255cbe4-afddf06d-448249b9.mp3]
młyn paszowy,feed mill [sound:sapi5js-7267c301-d3c3a7ce-ad3fba41-d4c70bb4-7d827e16.mp3]
wylęgarnia,hatchery [sound:sapi5js-369246c4-5a3e13b3-32df16d6-e6ec3391-0fd0b62d.mp3]
nadzorowanie,overseeing [sound:sapi5js-0f75eef4-4cd2ac4c-114345fa-42a23d3d-a12c9fef.mp3]
"nieubłagany<div><img src=""image-f8357b970d8a4941abafda63cfd50c77541a2376.jpg""><br></div>",inexorable [sound:sapi5js-b6a36070-c851ffb6-e000c2d6-9c41f701-52f10af2.mp3]
"wabik<div><img src=""image-9ff0ef13313dcc9f53dc037d24b3e3f246aebe91.jpg""><br></div>",lure [sound:sapi5js-d7075502-4e2d510d-9f2b3e6e-4ea80436-9e6d9dfe.mp3]
plusy i minusy,pros and cons [sound:sapi5js-d23ce12a-8773b4de-aab22672-2fce30f0-b774f579.mp3]
rzepa,turnips [sound:sapi5js-a6a9b716-2eb2dcd2-5a882eca-48772acc-5dba5093.mp3]
"torf<div><img src=""image-34b7315bde98cfafbdafebeca33c850c23d4ee4b.jpg""><br></div>",peat [sound:sapi5js-c8eab089-86ae7f50-0d3353b1-47699eb3-ba8bb951.mp3]
kłusownik,poacher [sound:sapi5js-657f3fed-8ce4d8c2-48353161-312db3e3-bcda1086.mp3]
"Revved up na chodzie<div><br><div><img src=""image-72ebb1350c6caec86fc7c101ea502997bc025d66.jpg""><br></div><div><img src=""image-19200d4f4d6ff627b9c014a46c75da3044c41f02.jpg""><br></div></div>",revved [sound:sapi5js-acbf4de2-52256263-33015413-c61f8bb4-c88e080e.mp3]
poniżający,demeaning [sound:sapi5js-01188a9b-a07b15b1-e1f8cac5-4e7f479b-286a1a73.mp3]
"chwytanie<div><img src=""image-b46972a53ce7cd161d6cdd303816b54927adb36a.jpg""><br></div><div><img src=""image-43234b84efe6fd3865c149d83607720771a828cc.jpg""><br></div>",seizing [sound:sapi5js-1e1ed38e-f29e1670-010c6f71-acf55787-197e146d.mp3]
życzliwość,goodwill [sound:sapi5js-72c9b23a-6e6b7509-70fdbea1-a897809d-101b2a6a.mp3]
goodwill,goodwill [sound:sapi5js-72c9b23a-6e6b7509-70fdbea1-a897809d-101b2a6a.mp3]
odwołanie,recall [sound:sapi5js-b3b7dd5c-70247674-a5e66b20-07da91be-78b1e3d5.mp3]
walił,walloped [sound:sapi5js-8a160509-78d4cdaf-342785a9-e1be8fe2-df265938.mp3]
"zarazliw<div><img src=""image-85583f3b1694b52d556101ea67bc96c99a54cf5c.jpg""><br></div>",contagious [sound:sapi5js-2337e399-9f8b3dd4-9125f13e-fd55c9c2-f263ef27.mp3]
"odpowiednio, kolejno",respectively [sound:sapi5js-2fddbdf0-f8f010a0-064ed142-5feec1ec-8e3bf334.mp3]
przedsiębiorstwa użyteczności publicznej i sieci,utilities and grid companies [sound:sapi5js-6b737527-e4b1fad0-a82150cf-13bf6099-d2e9cfde.mp3]
wanna z hydromasażem,soaker tub [sound:sapi5js-b7664724-58ed36ae-50b867cd-5ece2bc5-f68e9941.mp3]
mężulek,hubby [sound:sapi5js-0d0002c2-1a4d2431-17db5e32-1b44ff79-fa0aa026.mp3]
rozładowany,discharged [sound:sapi5js-e24e3ddd-da6683d8-6486d456-59fa1121-2fd626a9.mp3]
gangsterstwo,racketeering [sound:sapi5js-927719bc-a38e3814-e07a2bef-a00129da-914af355.mp3]
"kanciarstwo<div><img src=""image-805f8035a7d6dff268996282ab0934d63489b3c4.jpg""><br></div>",racketeering [sound:sapi5js-927719bc-a38e3814-e07a2bef-a00129da-914af355.mp3]
bezinteresowność,selflessness [sound:sapi5js-68ea2391-0f81a3fa-cd990516-1482e7c9-afb93906.mp3]
"poobijany<div><img src=""image-d71fbd2800e438c0f23fa6b7fd8e0cacd96bdb16.jpg""><br></div><div><img src=""image-c9bc8711c5ac90a42125c2baf15e9145bb17ce0d.jpg""><br></div>",battered [sound:sapi5js-153f2aa0-388883d0-6f8cd633-6a41575f-45676627.mp3]
impas,deadlock [sound:sapi5js-7e049f5e-28ecff8d-d12c03e2-f9b92db5-2862fe48.mp3]
"rechot<div>Die</div><div><img src=""image-f9c140102a049ce24cd4315bdccee37b277f1c71.jpg""><br></div>",croak [sound:sapi5js-66199611-6bc537dc-f33d5581-c53118f0-65a9e7f9.mp3]
"wykorzystać<div><img src=""image-011146c2e7a818de873ea91702d724be4f421e45.jpg""><br></div><div><img src=""image-bea20a74e48339a74fbd9516c3c624d529b75af1.jpg""><br></div>",exploit [sound:sapi5js-ca8cf9b7-8a76dc82-4a5d0148-8265368c-b1134361.mp3]
przewracać się,topple [sound:sapi5js-7fd65493-ddb57934-b43f979d-e24cb73d-6b5392cb.mp3]
It&#x27;s stuck.,It&#x27;s stuck. [sound:sapi5js-0cede21c-70cdb0bf-2428ea67-4e3a68cc-25ffd017.mp3]
posiadać,possess [sound:sapi5js-98bfaab1-617d7772-a62ce64f-25ae16ba-ef3c754c.mp3]
wyrozumiały,forgiving [sound:sapi5js-62d936bf-9ef54874-4c5e9bbf-9d91c3f1-631880b9.mp3]
ciekawość,curiosity [sound:sapi5js-13b972f2-d631f9f4-13dc77ad-3eb7ccd5-f592194f.mp3]
włączyć,toggle on [sound:sapi5js-664761f1-973e2b29-c6bed470-cc072aba-87351fa1.mp3]
wystawna żona,lavish wife [sound:sapi5js-b00e3adc-c5c88502-91f47cc3-8425ba4c-69bafa22.mp3]
wierzchołków,vertices [sound:sapi5js-5d62a2d8-9d11c7b2-a5b5d500-9694ad14-882edc0e.mp3]
"powiedziała w wywiadzie, w który wierzyła, że ​​sumienie i etyka pracy są niezbędne w prowadzeniu biznesu.",she said in an interview that she believed conscience and work ethic are indispensable in running a business. [sound:sapi5js-b019911a-71426a26-da340a23-3d55bcf8-d8a3055d.mp3]
węzły,nodes [sound:sapi5js-a8f60f9a-ac917edb-e8f5e5da-a7cca1c1-36b7a97c.mp3]
Złośliwość,Malice [sound:sapi5js-9a9db52c-a365ca21-99f95ca3-ef5b278a-e18c468e.mp3]
"równoramienny<div><img src=""image-baaab96a30fe10eb1b8297fa318222e740233e75.jpg""><br><div><br></div></div>",isosceles [sound:sapi5js-2020f37c-02a7e09c-ea7e9e38-ab1c921d-4915a5d2.mp3]
przecinają,intersect [sound:sapi5js-9b921305-8463d284-aa19d5ad-b8b1047b-674b7cd4.mp3]
przytulać,cuddle [sound:sapi5js-8b0bddfc-4ff7d992-0dcd2ae5-aefcf7e0-51c43f6b.mp3]
wiarygodność,credibility [sound:sapi5js-b5e846eb-f04eae5e-a5aaf5b3-f67c38e5-98751dcd.mp3]
kompromis,compromise [sound:sapi5js-0f638e82-5d88b950-4e7101f6-ad134938-af43a2ab.mp3]
są stosunkowo powszechne,are a relatively prevalent [sound:sapi5js-7d9f91d9-f085b521-ddc30a30-2c82600d-6f554cb3.mp3]
nabycie,acquisition [sound:sapi5js-c9b05089-f93d8008-189cf84e-bdc8491e-cd540aa0.mp3]
zaraźliwe,contagious [sound:sapi5js-2337e399-9f8b3dd4-9125f13e-fd55c9c2-f263ef27.mp3]
"wystaje<div><img src=""paste-77784c1bcfe62634f7aaecdcfcfaba17fe6f159d.jpg""><br></div>",protrudes [sound:sapi5js-06b77924-3e69879e-cd5e2c4b-192fec5b-e02add6c.mp3]
zanieczyszczenie,contamination [sound:sapi5js-b06edb0f-baa1d5cf-d1534f2f-057606bc-5853659e.mp3]
zaciąg,haul [sound:sapi5js-1ec0d295-bbe2c37c-54d4ecb5-896c3dc1-cb54da19.mp3]
